,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Acidobacteria_41,Bacteria,Acidobacteria,,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,,Paludibaculum fermentans
Actinobacteria_2446,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas sp. C5510,,Cellulomonas sp. C5510
Actinobacteria_400,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Aquihabitans,Aquihabitans sp. G128,,Aquihabitans sp. G128
Actinobacteria_403,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,,,,,Acidimicrobiales
Bacteroidetes_1005,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium jumunjinense,,Flavobacterium jumunjinense
Bacteroidetes_1016,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Bacteroidetes_1059,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. M31R6,,Flavobacterium sp. M31R6
Bacteroidetes_1061,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium commune,,Flavobacterium commune
Bacteroidetes_1062,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. F-340,,Flavobacterium sp. F-340
Bacteroidetes_1087,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Bacteroidetes_128,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Ichthyobacteriaceae,Ichthyobacterium,Ichthyobacterium seriolicida,,Ichthyobacterium seriolicida
Bacteroidetes_129,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola taffensis,Fluviicola taffensis DSM 16823,Fluviicola taffensis DSM 16823
Bacteroidetes_130,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,Crocinitomix sp. GM2_3_6_6,,Crocinitomix sp. GM2_3_6_6
Bacteroidetes_148,Bacteria,Bacteroidetes,FCB group,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,,,,Rhodothermaceae
Bacteroidetes_150,Bacteria,Bacteroidetes,FCB group,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Haliscomenobacter hydrossis,Haliscomenobacter hydrossis DSM 1100,Haliscomenobacter hydrossis DSM 1100
Bacteroidetes_165,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Ferruginibacter lapsinanis,,Ferruginibacter lapsinanis
Bacteroidetes_168,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Lacibacter,Lacibacter sp. S13-6-6,,Lacibacter sp. S13-6-6
Bacteroidetes_173,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,,,,Chitinophagaceae
Bacteroidetes_187,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Phnomibacter,Phnomibacter ginsenosidimutans,,Phnomibacter ginsenosidimutans
Bacteroidetes_189,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter sp. IMCC34837,,Flavihumibacter sp. IMCC34837
Bacteroidetes_208,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,,,,Chitinophagaceae
Bacteroidetes_284,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter steynii,,Pedobacter steynii
Bacteroidetes_310,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter aquae,,Pedobacter aquae
Bacteroidetes_317,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,,Sphingobacteriaceae
Bacteroidetes_318,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Rhodocytophaga,Rhodocytophaga rosea,,Rhodocytophaga rosea
Bacteroidetes_324,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Runella,Runella rosea,,Runella rosea
Bacteroidetes_326,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Runella,,,Runella
Bacteroidetes_327,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Runella,Runella sp. SP2,,Runella sp. SP2
Bacteroidetes_358,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Leadbetterella,Leadbetterella byssophila,Leadbetterella byssophila DSM 17132,Leadbetterella byssophila DSM 17132
Bacteroidetes_359,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Arcticibacterium,Arcticibacterium luteifluviistationis,,Arcticibacterium luteifluviistationis
Bacteroidetes_360,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,,,,Spirosomaceae
Bacteroidetes_363,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Aquirufa,Aquirufa nivalisilvae,,Aquirufa nivalisilvae
Bacteroidetes_364,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Aquirufa,,,Aquirufa
Bacteroidetes_432,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_441,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_447,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,Echinicola rosea,,Echinicola rosea
Bacteroidetes_461,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus sanaruensis,,Algoriphagus sanaruensis
Bacteroidetes_462,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,,Algoriphagus
Bacteroidetes_463,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus sp. Y33,,Algoriphagus sp. Y33
Bacteroidetes_487,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga hutchinsonii,Cytophaga hutchinsonii ATCC 33406,Cytophaga hutchinsonii ATCC 33406
Bacteroidetes_488,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Fulvivirgaceae,Chryseolinea,Chryseolinea soli,,Chryseolinea soli
Bacteroidetes_489,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_492,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,,,,,Cytophagales
Bacteroidetes_493,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Bacteroidetes_665,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,Paraprevotella xylaniphila YIT 11841,Paraprevotella xylaniphila YIT 11841
Bacteroidetes_789,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Muribaculaceae,Sodaliphilus,Sodaliphilus pleomorphus,,Sodaliphilus pleomorphus
Bacteroidetes_790,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella sp. B8,,Duncaniella sp. B8
Bacteroidetes_879,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Paludibacter propionicigenes,Paludibacter propionicigenes WB4,Paludibacter propionicigenes WB4
Bacteroidetes_912,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Salinivirgaceae,Salinivirga,Salinivirga cyanobacteriivorans,,Salinivirga cyanobacteriivorans
Bacteroidetes_921,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Chlamydiae_63,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,Candidatus Protochlamydia amoebophila,Candidatus Protochlamydia amoebophila UWE25,Candidatus Protochlamydia amoebophila UWE25
Chlamydiae_66,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia,Neochlamydia sp. S13,,Neochlamydia sp. S13
Chlamydiae_68,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Parachlamydia,Parachlamydia acanthamoebae,Parachlamydia acanthamoebae UV-7,Parachlamydia acanthamoebae UV-7
Chlamydiae_72,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,Rhabdochlamydiaceae,Candidatus Rhabdochlamydia,,,Candidatus Rhabdochlamydia
Chlamydiae_76,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,,,,,Parachlamydiales
Chloroflexi_3,Bacteria,Chloroflexi,Terrabacteria group,Candidatus Thermofonsia,Phototrophicales,Phototrophicaceae,Phototrophicus,Phototrophicus methaneseepsis,,Phototrophicus methaneseepsis
Cyanobacteria_131,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pseudanabaenales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. BL0902,,Leptolyngbya sp. BL0902
Cyanobacteria_204,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,Chroococcaceae,Geminocystis,Geminocystis sp. NIES-3709,,Geminocystis sp. NIES-3709
Cyanobacteria_207,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Cyanobacteria_24,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pseudanabaenales,Leptolyngbyaceae,Leptolyngbya,,,Leptolyngbya
Cyanobacteria_315,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Firmicutes_Tenericutes_1033,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Veillonellales,Veillonellaceae,,,,Veillonellaceae
Firmicutes_Tenericutes_173,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus tianjinensis,,Paenibacillus tianjinensis
Firmicutes_Tenericutes_4554,Bacteria,Tenericutes,Terrabacteria group,,,,,,,Terrabacteria group
Firmicutes_Tenericutes_557,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,,,Ruminococcus
Firmicutes_Tenericutes_832,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,,,,Clostridiaceae
Firmicutes_Tenericutes_833,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptoclostridium,Peptoclostridium acidaminophilum,Peptoclostridium acidaminophilum DSM 3953,Peptoclostridium acidaminophilum DSM 3953
Firmicutes_Tenericutes_983,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Thermodesulfobium,,,Thermodesulfobium
Gemmatimonadetes_0,Bacteria,Gemmatimonadetes,FCB group,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas groenlandica,,Gemmatimonas groenlandica
Gemmatimonadetes_3,Bacteria,Gemmatimonadetes,FCB group,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica,,Gemmatimonas phototrophica
Planctomycetes_12,Bacteria,Planctomycetes,PVC group,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstiella,Fuerstiella marisgermanici,,Fuerstiella marisgermanici
Planctomycetes_2,Bacteria,Planctomycetes,PVC group,Candidatus Uabimicrobiia,Candidatus Uabimicrobiales,Candidatus Uabimicrobiaceae,Candidatus Uabimicrobium,Candidatus Uabimicrobium amorphum,,Candidatus Uabimicrobium amorphum
Planctomycetes_23,Bacteria,Planctomycetes,PVC group,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,Planctopirus limnophila,Planctopirus limnophila DSM 3776,Planctopirus limnophila DSM 3776
Planctomycetes_25,Bacteria,Planctomycetes,PVC group,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,,,Planctopirus
Planctomycetes_28,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,Lignipirellula,Lignipirellula cremea,,Lignipirellula cremea
Planctomycetes_31,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula sp. SH-Sr6A,,Pirellula sp. SH-Sr6A
Planctomycetes_32,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,,,,Pirellulaceae
Planctomycetes_34,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,Rubripirellula,Rubripirellula lacrimiformis,,Rubripirellula lacrimiformis
Planctomycetes_39,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,Roseimaritima,,,Roseimaritima
Planctomycetes_40,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,,,,Pirellulaceae
Planctomycetes_47,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Lacipirellulaceae,Lacipirellula,Lacipirellula parvula,,Lacipirellula parvula
Planctomycetes_49,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Lacipirellulaceae,Pirellulimonas,Pirellulimonas nuda,,Pirellulimonas nuda
Planctomycetes_61,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,,,,,Pirellulales
Planctomycetes_63,Bacteria,Planctomycetes,PVC group,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Singulisphaera acidiphila,Singulisphaera acidiphila DSM 18658,Singulisphaera acidiphila DSM 18658
Planctomycetes_73,Bacteria,Planctomycetes,PVC group,Planctomycetia,Gemmatales,Gemmataceae,Urbifossiella,Urbifossiella limnaea,,Urbifossiella limnaea
Planctomycetes_76,Bacteria,Planctomycetes,PVC group,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata obscuriglobus,,Gemmata obscuriglobus
Planctomycetes_84,Bacteria,Planctomycetes,PVC group,Planctomycetia,Gemmatales,Gemmataceae,,,,Gemmataceae
Planctomycetes_87,Bacteria,Planctomycetes,PVC group,Planctomycetia,Gemmatales,Gemmataceae,,,,Gemmataceae
Planctomycetes_88,Bacteria,Planctomycetes,PVC group,Planctomycetia,Gemmatales,Gemmataceae,,,,Gemmataceae
Planctomycetes_9,Bacteria,Planctomycetes,PVC group,Planctomycetia,Planctomycetales,Planctomycetaceae,Polystyrenella,Polystyrenella longa,,Polystyrenella longa
Planctomycetes_92,Bacteria,Planctomycetes,PVC group,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Humisphaera,Humisphaera borealis,,Humisphaera borealis
Planctomycetes_97,Bacteria,Planctomycetes,PVC group,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,,,,Phycisphaeraceae
Proteobacteria_10048,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,,Xanthomonadaceae
Proteobacteria_10090,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,,,,,Xanthomonadales
Proteobacteria_10196,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,,Thiohalobacter,,,Thiohalobacter
Proteobacteria_10325,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tohonis,,Pseudomonas tohonis
Proteobacteria_10328,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas alcaligenes,,Pseudomonas alcaligenes
Proteobacteria_10329,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas alcaligenes,,Pseudomonas alcaligenes
Proteobacteria_10347,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,Pseudomonas
Proteobacteria_11120,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,,,,,Oceanospirillales
Proteobacteria_11210,Bacteria,Proteobacteria,,Gammaproteobacteria,,,Pseudohongiella,Pseudohongiella spirulinae,,Pseudohongiella spirulinae
Proteobacteria_11335,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus Carsonella,,,Candidatus Carsonella
Proteobacteria_11414,Bacteria,Proteobacteria,,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio sp. KY-YJ-3,,Cellvibrio sp. KY-YJ-3
Proteobacteria_11429,Bacteria,Proteobacteria,,Gammaproteobacteria,Cellvibrionales,Halieaceae,Aequoribacter,Aequoribacter fuscus,,Aequoribacter fuscus
Proteobacteria_11437,Bacteria,Proteobacteria,,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,,,,Spongiibacteraceae
Proteobacteria_11438,Bacteria,Proteobacteria,,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Oceanicoccus,Oceanicoccus sagamiensis,,Oceanicoccus sagamiensis
Proteobacteria_3005,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter,Atlantibacter hermannii,,Atlantibacter hermannii
Proteobacteria_3449,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans,,Pantoea agglomerans
Proteobacteria_3717,Bacteria,Proteobacteria,,Gammaproteobacteria,Orbales,Orbaceae,,,,Orbaceae
Proteobacteria_4317,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. D18,,Rheinheimera sp. D18
Proteobacteria_4318,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera mangrovi,,Rheinheimera mangrovi
Proteobacteria_4319,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,,,Rheinheimera
Proteobacteria_4430,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,Aeromonas
Proteobacteria_5268,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,Legionella
Proteobacteria_5325,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,,,,Legionellaceae
Proteobacteria_5452,Bacteria,Proteobacteria,,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,Bdellovibrio
Proteobacteria_5458,Bacteria,Proteobacteria,,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,Bdellovibrio
Proteobacteria_5489,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter,Vulgatibacter incomptus,,Vulgatibacter incomptus
Proteobacteria_5514,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Sandaracinus amylolyticus,,Sandaracinus amylolyticus
Proteobacteria_5517,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,,,,,Myxococcales
Proteobacteria_5531,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus oligotrophicus,,Desulfobulbus oligotrophicus
Proteobacteria_5638,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Solidesulfovibrio,Solidesulfovibrio carbinolicus,,Solidesulfovibrio carbinolicus
Proteobacteria_5639,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,,,,Desulfovibrionaceae
Proteobacteria_5690,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium baculatum,Desulfomicrobium baculatum DSM 4028,Desulfomicrobium baculatum DSM 4028
Proteobacteria_5697,Bacteria,Proteobacteria,,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,Halobacteriovorax marinus,,Halobacteriovorax marinus
Proteobacteria_5701,Bacteria,Proteobacteria,,Oligoflexia,Bacteriovoracales,,,,,Bacteriovoracales
Proteobacteria_5754,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter cloacae,,Arcobacter cloacae
Proteobacteria_6377,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_6378,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,Glaciecola amylolytica,,Glaciecola amylolytica
Proteobacteria_6407,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Kaistiaceae,Kaistia,Kaistia sp. 32K,,Kaistia sp. 32K
Proteobacteria_6408,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,,,,,Hyphomicrobiales
Proteobacteria_6473,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Boseaceae,Bosea,Bosea vaviloviae,,Bosea vaviloviae
Proteobacteria_6484,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Labrys,Labrys sp. KNU-23,,Labrys sp. KNU-23
Proteobacteria_6588,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici,,Pseudorhodoplanes sinuspersici
Proteobacteria_6590,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes sp. Z2-YC6860,,Rhodoplanes sp. Z2-YC6860
Proteobacteria_6614,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Beijerinckia,Beijerinckia indica,Beijerinckia indica subsp. indica ATCC 9039,Beijerinckia indica subsp. indica ATCC 9039
Proteobacteria_6632,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,Xanthobacter dioxanivorans,,Xanthobacter dioxanivorans
Proteobacteria_6637,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Ancylobacter,Ancylobacter pratisalsi,,Ancylobacter pratisalsi
Proteobacteria_6644,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,,,,,Hyphomicrobiales
Proteobacteria_6648,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,,Nordella,Nordella sp. HKS 07,,Nordella sp. HKS 07
Proteobacteria_6664,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Methyloceanibacter,Methyloceanibacter caenitepidi,,Methyloceanibacter caenitepidi
Proteobacteria_6744,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aquibium,Aquibium microcysteis,,Aquibium microcysteis
Proteobacteria_6848,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Oricola,Oricola thermophila,,Oricola thermophila
Proteobacteria_6853,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Neorhizobium,Neorhizobium sp. NCHU2750,,Neorhizobium sp. NCHU2750
Proteobacteria_6874,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. B21/90,,Rhizobium sp. B21/90
Proteobacteria_6987,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium pusense,,Rhizobium pusense
Proteobacteria_7050,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Martelella,,,Martelella
Proteobacteria_7075,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Youhaiella,Youhaiella tibetensis,,Youhaiella tibetensis
Proteobacteria_7079,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia salina,,Devosia salina
Proteobacteria_7091,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia sp. A16,,Devosia sp. A16
Proteobacteria_7104,Bacteria,Proteobacteria,,Alphaproteobacteria,,,Micavibrio,Micavibrio aeruginosavorus,,Micavibrio aeruginosavorus
Proteobacteria_7106,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis excentricus,Asticcacaulis excentricus CB 48,Asticcacaulis excentricus CB 48
Proteobacteria_7109,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,,,Asticcacaulis
Proteobacteria_7119,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp. MF30-B,,Brevundimonas sp. MF30-B
Proteobacteria_7133,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas goettingensis,,Brevundimonas goettingensis
Proteobacteria_7147,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter segnis,,Caulobacter segnis
Proteobacteria_7154,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,,Caulobacter
Proteobacteria_7163,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,,,Caulobacteraceae
Proteobacteria_7164,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Terricaulis,Terricaulis silvestris,,Terricaulis silvestris
Proteobacteria_7166,Bacteria,Proteobacteria,,Alphaproteobacteria,,,,,,Alphaproteobacteria
Proteobacteria_7170,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas sp. KY3,,Hyphomonas sp. KY3
Proteobacteria_7173,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hirschia,Hirschia baltica,Hirschia baltica ATCC 49814,Hirschia baltica ATCC 49814
Proteobacteria_7340,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Qingshengfaniella,Qingshengfaniella alkalisoli,,Qingshengfaniella alkalisoli
Proteobacteria_7373,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter aquarius,,Gemmobacter aquarius
